Region,Ankuenfte,Ankuenfte_Change,Uebernachtungen,Uebernachtungen_Change,Aufenthaltslaenge_mean,Sequence
BY_Deutschland,9977,-50.5,59002,-40.7,5.9,200903
BY_Ausland,1244,-52.2,2989,-49.5,2.4,200903
BE,387,-46.7,1565,-49.0,4.0,200903
BE_Deutschland,276,-44.2,997,-52.3,3.6,200903
BE_Ausland,111,-51.9,568,-42.2,5.1,200903
BR,347,-80.8,1369,-78.0,3.9,200903
BR_Deutschland,309,-81.4,1273,-77.8,4.1,200903
BR_Ausland,38,-75.3,96,-80.6,2.5,200903
HB,1013,-999.0,1817,-999.0,1.8,200903
HB_Deutschland,966,-999.0,1732,-999.0,1.8,200903
HB_Ausland,47,-999.0,85,-999.0,1.8,200903
HH,443,-999.0,-999,-999.0,-999.0,200903
HH_Deutschland,443,-999.0,-999,-999.0,-999.0,200903
HH_Ausland,-999,-999.0,-999,-999.0,-999.0,200903
HE,5564,-29.7,16450,-33.0,3.0,200903
HE_Deutschland,5135,-29.6,15401,-33.4,3.0,200903
HE_Ausland,429,-31.1,1049,-25.2,2.4,200903
MV,3991,-62.0,12476,-72.1,3.1,200903
MV_Deutschland,3919,-61.5,12287,-71.7,3.1,200903
MV_Ausland,72,-78.3,189,-85.7,2.6,200903
NI,15274,-41.0,60818,-46.3,4.0,200903
NI_Deutschland,13676,-44.5,54827,-50.0,4.0,200903
NI_Ausland,1598,25.9,5991,71.6,3.7,200903
NW,8785,-30.2,21975,-50.5,2.5,200903
NW_Deutschland,7843,-30.5,18953,-53.1,2.4,200903
NW_Ausland,942,-27.4,3022,-24.9,3.2,200903
RP,5322,-54.3,12144,-67.5,2.3,200903
RP_Deutschland,4059,-56.5,9300,-68.9,2.3,200903
RP_Ausland,1263,-45.2,2844,-62.1,2.3,200903
SL,185,-38.9,468,-67.2,2.5,200903
SL_Deutschland,165,-39.3,434,-68.2,2.6,200903
SL_Ausland,20,-35.5,34,-45.2,1.7,200903
SN,1130,-34.8,2944,-58.6,2.6,200903
SN_Deutschland,1099,-34.5,2866,-58.2,2.6,200903
SN_Ausland,31,-43.6,78,-68.8,2.5,200903
ST,791,-47.4,2205,-63.0,2.8,200903
ST_Deutschland,737,-45.7,2116,-58.9,2.9,200903
ST_Ausland,54,-63.0,89,-89.1,1.6,200903
SH,6964,-19.2,11497,-71.9,1.7,200903
SH_Deutschland,6574,-11.3,10681,-71.3,1.6,200903
SH_Ausland,390,-67.6,816,-78.3,2.1,200903
TH,280,-74.6,1201,-67.7,4.3,200903
TH_Deutschland,262,-74.6,1125,-66.7,4.3,200903
TH_Ausland,18,-74.6,76,-77.7,4.2,200903
BRD,434480,96.4,1424930,107.8,3.3,200904
BRD_Deutschland,371067,108.3,1248704,116.7,3.4,200904
BRD_Ausland,63413,47.1,176226,60.7,2.8,200904
BW,62934,98.4,208443,119.4,3.3,200904
BW_Deutschland,47361,117.0,166671,125.2,3.5,200904
BW_Ausland,15573,57.4,41772,99.0,2.7,200904
BY,64362,74.2,227936,72.7,3.5,200904
BY_Deutschland,53435,81.4,203109,74.4,3.8,200904
BY_Ausland,10927,46.0,24827,60.0,2.3,200904
BE,1716,36.4,6038,58.9,3.5,200904
BE_Deutschland,-999,-999.0,-999,-999.0,-999.0,200904
BE_Ausland,-999,-999.0,-999,-999.0,-999.0,200904
BR,12891,130.4,41684,171.9,3.2,200904
BR_Deutschland,11896,143.3,39004,207.2,3.3,200904
BR_Ausland,995,40.9,2680,1.7,2.7,200904
HB,2057,24.4,3833,20.3,1.9,200904
HB_Deutschland,-999,-999.0,-999,-999.0,-999.0,200904
HB_Ausland,-999,-999.0,-999,-999.0,-999.0,200904
HH,2835,49.4,5155,80.9,1.8,200904
