Region,Ankuenfte,Ankuenfte_Change,Uebernachtungen,Uebernachtungen_Change,Aufenthaltslaenge_mean,Sequence
HE_Deutschland,2294,18.5,8833,3.6,3.9,201201
HE_Ausland,128,32.0,277,22.0,2.2,201201
MV,1332,104.6,7202,26.8,5.4,201201
MV_Deutschland,1326,105.6,7194,26.9,5.4,201201
MV_Ausland,6,0.0,8,-20.0,1.3,201201
NI,4812,-3.1,22152,37.7,4.6,201201
NI_Deutschland,4533,-4.8,21236,37.4,4.7,201201
NI_Ausland,279,36.8,916,42.9,3.3,201201
NW,5999,2.4,19032,4.2,3.2,201201
NW_Deutschland,5118,13.3,15672,6.8,3.1,201201
NW_Ausland,881,-34.1,3360,-6.3,3.8,201201
RP,2607,-45.2,6638,-45.5,2.5,201201
RP_Deutschland,1895,-31.4,5039,-31.3,2.7,201201
RP_Ausland,712,-64.3,1599,-67.0,2.2,201201
SL,83,-39.0,168,-32.5,2.0,201201
SL_Deutschland,78,4.0,163,-2.4,2.1,201201
SL_Ausland,5,-91.8,5,-93.9,1.0,201201
SN,315,-18.0,1756,-21.1,5.6,201201
SN_Deutschland,-999,-999.0,-999,-999.0,-999.0,201201
SN_Ausland,-999,-999.0,-999,-999.0,-999.0,201201
ST,624,38.1,2519,8.3,4.0,201201
ST_Deutschland,595,34.3,2380,7.1,4.0,201201
ST_Ausland,29,222.2,139,33.7,4.8,201201
SH,2423,-8.9,5564,15.9,2.3,201201
SH_Deutschland,2215,-13.5,5159,12.0,2.3,201201
SH_Ausland,208,110.1,405,107.7,1.9,201201
TH,365,-22.0,1531,-27.7,4.2,201201
TH_Deutschland,357,-22.1,1482,-27.4,4.2,201201
TH_Ausland,8,-20.0,49,-999.0,6.1,201201
BRD,40485,11.9,161062,21.9,4.0,201202
BRD_Deutschland,34577,10.9,139775,19.9,4.0,201202
BRD_Ausland,5908,18.0,21287,37.2,3.6,201202
BW,4733,4.2,23662,12.6,5.0,201202
BW_Deutschland,3674,8.0,19465,16.0,5.3,201202
BW_Ausland,1059,-7.1,4197,-1.0,4.0,201202
BY,11149,18.0,58951,21.6,5.3,201202
BY_Deutschland,9233,11.4,51263,15.4,5.6,201202
BY_Ausland,1916,64.7,7688,89.5,4.0,201202
BE,114,200.0,387,204.7,3.4,201202
BE_Deutschland,-999,-999.0,-999,-999.0,-999.0,201202
BE_Ausland,-999,-999.0,-999,-999.0,-999.0,201202
BR,-999,-999.0,-999,-999.0,-999.0,201202
BR_Deutschland,-999,-999.0,-999,-999.0,-999.0,201202
BR_Ausland,-999,-999.0,-999,-999.0,-999.0,201202
HB,399,-999.0,759,-48.4,1.9,201202
HB_Deutschland,380,-999.0,720,-48.8,1.9,201202
HB_Ausland,19,-24.0,39,-39.1,2.1,201202
HH,-999,-999.0,-999,-999.0,-999.0,201202
HH_Deutschland,-999,-999.0,-999,-999.0,-999.0,201202
HH_Ausland,-999,-999.0,-999,-999.0,-999.0,201202
HE,2581,4.2,7997,-1.7,3.1,201202
HE_Deutschland,2353,3.4,7400,-4.6,3.1,201202
HE_Ausland,228,13.4,597,57.9,2.6,201202
MV,817,14.4,5306,30.7,6.5,201202
MV_Deutschland,803,12.5,5230,28.8,6.5,201202
MV_Ausland,14,-999.0,76,-999.0,5.4,201202
NI,5587,29.2,20994,41.1,3.8,201202
NI_Deutschland,5292,35.2,20039,50.0,3.8,201202
NI_Ausland,295,-27.9,955,-37.2,3.2,201202
NW,6552,18.2,20848,33.9,3.2,201202
NW_Deutschland,5177,15.4,15644,29.4,3.0,201202
NW_Ausland,1375,29.8,5204,49.5,3.8,201202
RP,5143,7.1,12219,19.4,2.4,201202
RP_Deutschland,4428,9.9,10424,16.2,2.4,201202
RP_Ausland,715,-7.5,1795,42.2,2.5,201202
SL,92,-14.0,217,-6.9,2.4,201202
SL_Deutschland,-999,-999.0,-999,-999.0,-999.0,201202
SL_Ausland,-999,-999.0,-999,-999.0,-999.0,201202
SN,386,30.4,2494,55.7,6.5,201202
SN_Deutschland,358,23.4,2401,51.0,6.7,201202
SN_Ausland,28,-999.0,93,-999.0,3.3,201202
ST,327,26.3,1178,15.9,3.6,201202
ST_Deutschland,-999,-999.0,-999,-999.0,-999.0,201202
ST_Ausland,-999,-999.0,-999,-999.0,-999.0,201202
SH,2209,-9.0,4673,15.0,2.1,201202
SH_Deutschland,1991,-12.2,4215,12.6,2.1,201202
SH_Ausland,218,36.3,458,41.8,2.1,201202
TH,225,14.8,787,8.3,3.5,201202
TH_Deutschland,216,18.0,751,7.0,3.5,201202
TH_Ausland,9,-30.8,36,44.0,4.0,201202
BRD,114857,31.3,336330,24.3,2.9,201203
BRD_Deutschland,101473,32.9,302441,25.5,3.0,201203
BRD_Ausland,13384,19.9,33889,14.5,2.5,201203
BW,15920,33.2,53780,17.1,3.4,201203
BW_Deutschland,12829,31.4,43107,12.5,3.4,201203
BW_Ausland,3091,41.2,10673,40.1,3.5,201203
BY,20007,12.2,77507,1.2,3.9,201203
BY_Deutschland,17937,13.3,71831,-0.2,4.0,201203
BY_Ausland,2070,3.1,5676,23.4,2.7,201203
BE,479,114.8,1719,163.2,3.6,201203
BE_Deutschland,401,92.8,1491,144.0,3.7,201203
BE_Ausland,78,420.0,228,442.9,2.9,201203
BR,539,21.7,1350,42.3,2.5,201203
BR_Deutschland,467,18.5,1249,47.1,2.7,201203
BR_Ausland,72,46.9,101,1.0,1.4,201203
HB,1658,4.6,3168,3.6,1.9,201203
HB_Deutschland,1543,-0.1,2999,0.2,1.9,201203
HB_Ausland,115,180.5,169,160.0,1.5,201203
HH,501,-999.0,-999,-999.0,-999.0,201203
HH_Deutschland,-999,-999.0,-999,-999.0,-999.0,201203
HH_Ausland,-999,-999.0,-999,-999.0,-999.0,201203
HE,7835,34.3,22304,26.8,2.8,201203
HE_Deutschland,7214,31.5,21029,25.2,2.9,201203
HE_Ausland,621,79.5,1275,59.8,2.1,201203
MV,5318,104.9,21158,80.4,4.0,201203
MV_Deutschland,5261,105.2,21064,80.5,4.0,201203
MV_Ausland,57,83.9,94,62.1,1.6,201203
NI,18815,44.3,56901,37.8,3.0,201203
NI_Deutschland,17655,52.5,54124,50.5,3.1,201203
NI_Ausland,1160,-20.5,2777,-48.1,2.4,201203
NW,16983,26.1,40654,25.5,2.4,201203
NW_Deutschland,14359,31.6,34732,29.8,2.4,201203
NW_Ausland,2624,2.7,5922,5.1,2.3,201203
RP,12855,35.3,26038,39.1,2.0,201203
RP_Deutschland,10587,35.8,21246,37.9,2.0,201203
RP_Ausland,2268,32.6,4792,45.0,2.1,201203
SL,396,-999.0,-999,-999.0,-999.0,201203
SL_Deutschland,-999,-999.0,-999,-999.0,-999.0,201203
SL_Ausland,-999,-999.0,-999,-999.0,-999.0,201203
SN,1051,74.0,4611,87.4,4.4,201203
SN_Deutschland,1001,82.0,4469,91.1,4.5,201203
SN_Ausland,50,-7.4,142,16.4,2.8,201203
ST,1310,47.0,2767,9.7,2.1,201203
ST_Deutschland,1281,59.3,2715,47.4,2.1,201203
ST_Ausland,29,-66.7,52,-999.0,1.8,201203
SH,10437,24.5,20437,46.7,2.0,201203
SH_Deutschland,9428,20.0,18714,45.6,2.0,201203
SH_Ausland,1009,91.5,1723,60.3,1.7,201203
TH,753,34.7,2126,41.5,2.8,201203
TH_Deutschland,692,30.1,1976,36.0,2.9,201203
TH_Ausland,61,125.9,150,200.0,2.5,201203
BRD,497081,-11.4,1665758,-10.1,3.4,201204
BRD_Deutschland,426078,-12.7,1476777,-11.2,3.5,201204
BRD_Ausland,71003,-2.2,188981,-0.6,2.7,201204
BW,73125,-6.4,243630,-7.9,3.3,201204
BW_Deutschland,55772,-8.0,198960,-8.6,3.6,201204
BW_Ausland,17353,-0.9,44670,-4.7,2.6,201204
BY,80503,-9.2,266102,-8.1,3.3,201204
BY_Deutschland,68349,-10.5,239910,-9.2,3.5,201204
BY_Ausland,12154,-0.6,26192,2.8,2.2,201204
BE,2369,104.4,8457,121.3,3.6,201204
BE_Deutschland,1649,85.1,5803,89.6,3.5,201204
BE_Ausland,720,168.7,2654,249.2,3.7,201204
BR,14886,-15.3,44571,-15.1,3.0,201204
BR_Deutschland,13942,-15.3,41909,-15.5,3.0,201204
BR_Ausland,944,-14.8,2662,-9.8,2.8,201204
HB,3439,-7.2,6662,-9.5,1.9,201204
HB_Deutschland,3148,-8.6,6183,-9.3,2.0,201204
HB_Ausland,291,12.4,479,-11.8,1.6,201204
HH,3594,35.4,9377,60.0,2.6,201204
HH_Deutschland,3106,35.6,8326,62.6,2.7,201204
HH_Ausland,488,33.7,1051,42.2,2.2,201204
HE,23790,-4.9,74245,-0.7,3.1,201204
HE_Deutschland,21365,-5.9,68721,-1.0,3.2,201204
HE_Ausland,2425,5.7,5524,4.2,2.3,201204
MV,33591,-24.2,146748,-10.5,4.4,201204
MV_Deutschland,32339,-24.7,143017,-10.4,4.4,201204
MV_Ausland,1252,-11.6,3731,-11.9,3.0,201204
NI,84416,-8.1,331702,-13.5,3.9,201204
NI_Deutschland,77935,-8.4,305135,-15.2,3.9,201204
NI_Ausland,6481,-4.6,26567,12.9,4.1,201204
NW,43347,-14.3,118941,-6.7,2.7,201204
NW_Deutschland,35205,-18.1,99260,-10.8,2.8,201204
NW_Ausland,8142,6.6,19681,21.7,2.4,201204
RP,51501,-15.7,145496,-15.4,2.8,201204
RP_Deutschland,37279,-17.8,105537,-16.7,2.8,201204
RP_Ausland,14222,-9.7,39959,-11.8,2.8,201204
SL,2152,-72.6,5995,-64.6,2.8,201204
SL_Deutschland,1881,-74.8,5462,-66.1,2.9,201204
SL_Ausland,271,-30.7,533,-36.5,2.0,201204
SN,12012,33.9,38304,21.1,3.2,201204
SN_Deutschland,10915,31.2,35654,19.3,3.3,201204
SN_Ausland,1097,67.7,2650,51.9,2.4,201204
ST,8303,3.0,20143,-1.1,2.4,201204
ST_Deutschland,7826,1.4,19188,-2.5,2.5,201204
ST_Ausland,477,41.1,955,39.4,2.0,201204
SH,54380,-16.6,188953,-14.4,3.5,201204
SH_Deutschland,50036,-16.6,178182,-13.7,3.6,201204
SH_Ausland,4344,-16.7,10771,-23.4,2.5,201204
TH,5673,-5.7,16432,-8.1,2.9,201204
TH_Deutschland,5331,-5.5,15530,-8.7,2.9,201204
TH_Ausland,342,-9.0,902,5.0,2.6,201204
BRD,1034589,84.4,3191299,80.1,3.1,201205
BRD_Deutschland,890049,98.9,2788134,91.8,3.1,201205
BRD_Ausland,144540,27.2,403165,26.9,2.8,201205
BW,121090,69.3,396230,75.0,3.3,201205
BW_Deutschland,90515,84.0,311392,84.7,3.4,201205
BW_Ausland,30575,36.9,84838,46.7,2.8,201205
BY,153207,64.7,495930,70.1,3.2,201205
BY_Deutschland,127600,78.7,435709,77.3,3.4,201205
BY_Ausland,25607,18.4,60221,31.6,2.4,201205
BE,3503,145.8,12678,227.2,3.6,201205
BE_Deutschland,2444,160.6,9055,288.3,3.7,201205
BE_Ausland,1059,117.5,3623,134.8,3.4,201205
BR,53242,158.3,150892,177.2,2.8,201205
BR_Deutschland,49689,173.5,140938,191.7,2.8,201205
BR_Ausland,3553,45.0,9954,62.5,2.8,201205
HB,3463,25.2,6991,28.3,2.0,201205
HB_Deutschland,3029,25.3,6206,29.8,2.0,201205
HB_Ausland,434,24.7,785,18.0,1.8,201205
HH,7799,94.8,15999,57.4,2.1,201205
HH_Deutschland,7015,111.0,14336,65.3,2.0,201205
HH_Ausland,784,15.5,1663,11.5,2.1,201205
HE,56806,73.5,151342,72.6,2.7,201205
HE_Deutschland,50515,84.4,135624,83.2,2.7,201205
HE_Ausland,6291,17.5,15718,15.2,2.5,201205
MV,109964,88.9,387701,87.0,3.5,201205
MV_Deutschland,105537,96.0,373859,92.7,3.5,201205
MV_Ausland,4427,0.9,13842,3.8,3.1,201205
NI,153629,98.4,508845,60.3,3.3,201205
NI_Deutschland,139203,109.6,457392,65.3,3.3,201205
NI_Ausland,14426,30.8,51453,26.6,3.6,201205
NW,89284,101.0,231390,120.0,2.6,201205
NW_Deutschland,74409,115.1,194929,159.0,2.6,201205
NW_Ausland,14875,51.3,36461,21.8,2.5,201205
RP,95559,60.9,282139,58.5,3.0,201205
RP_Deutschland,67823,93.7,192560,99.6,2.8,201205
RP_Ausland,27736,13.8,89579,9.8,3.2,201205
SL,5996,10.4,15655,3.7,2.6,201205
SL_Deutschland,5262,10.6,13885,4.0,2.6,201205
SL_Ausland,734,9.6,1770,1.0,2.4,201205
SN,33273,149.5,96866,140.8,2.9,201205
SN_Deutschland,29878,161.6,88504,156.1,3.0,201205
SN_Ausland,3395,77.2,8362,47.8,2.5,201205
ST,19544,103.7,49234,125.8,2.5,201205
ST_Deutschland,17894,115.8,45382,136.9,2.5,201205
ST_Ausland,1650,26.7,3852,45.6,2.3,201205
SH,109287,84.2,336202,78.8,3.1,201205
SH_Deutschland,101864,89.1,319143,80.8,3.1,201205
SH_Ausland,7423,35.9,17059,48.0,2.3,201205
TH,18943,142.0,53205,183.6,2.8,201205
TH_Deutschland,17372,168.7,49220,223.0,2.8,201205
TH_Ausland,1571,15.3,3985,13.0,2.5,201205
BRD,983738,-27.4,3102628,-27.9,3.2,201206
BRD_Deutschland,791309,-31.3,2594864,-30.8,3.3,201206
BRD_Ausland,192429,-5.2,507764,-8.5,2.6,201206
BW,134203,-16.8,439363,-18.3,3.3,201206
BW_Deutschland,96881,-19.3,339996,-19.4,3.5,201206
BW_Ausland,37322,-9.3,99367,-14.2,2.7,201206
BY,188439,-10.8,590175,-14.8,3.1,201206
BY_Deutschland,142207,-15.6,490596,-17.5,3.4,201206
BY_Ausland,46232,7.8,99579,1.4,2.2,201206
BE,3438,-6.7,13249,16.9,3.9,201206
BE_Deutschland,2332,-17.2,9471,7.8,4.1,201206
BE_Ausland,1106,27.6,3778,48.4,3.4,201206
BR,40115,-42.2,113552,-40.2,2.8,201206
BR_Deutschland,35548,-45.2,100606,-43.6,2.8,201206
BR_Ausland,4567,2.3,12946,13.4,2.8,201206
HB,3535,11.1,6626,0.0,1.9,201206
HB_Deutschland,-999,-999.0,5542,-2.1,-999.0,201206
HB_Ausland,-999,-999.0,1084,12.4,-999.0,201206
HH,3773,-42.5,9656,-25.0,2.6,201206
HH_Deutschland,-999,-999.0,8092,-22.7,-999.0,201206
HH_Ausland,-999,-999.0,1564,-35.0,-999.0,201206
HE,63235,-19.0,154231,-26.9,2.4,201206
HE_Deutschland,54003,-21.7,132506,-30.1,2.5,201206
HE_Ausland,9232,0.8,21725,1.0,2.4,201206
MV,110675,-33.2,477002,-22.6,4.3,201206
MV_Deutschland,101492,-35.5,446382,-24.4,4.4,201206
MV_Ausland,9183,11.6,30620,18.9,3.3,201206
NI,109015,-41.9,329881,-47.6,3.0,201206
NI_Deutschland,90483,-45.6,279268,-51.1,3.1,201206
NI_Ausland,18532,-13.9,50613,-13.2,2.7,201206
NW,74510,-23.5,177666,-29.3,2.4,201206
NW_Deutschland,61984,-25.9,144951,-32.8,2.3,201206
NW_Ausland,12526,-9.0,32715,-7.5,2.6,201206
RP,95198,-23.7,285547,-27.7,3.0,201206
RP_Deutschland,61252,-29.1,177576,-32.8,2.9,201206
RP_Ausland,33946,-11.4,107971,-17.4,3.2,201206
SL,6139,-28.8,14869,-37.0,2.4,201206
SL_Deutschland,5304,-28.4,12230,-38.7,2.3,201206
SL_Ausland,835,-31.2,2639,-28.3,3.2,201206
SN,24311,-38.0,70939,-36.4,2.9,201206
SN_Deutschland,20267,-42.5,59069,-40.2,2.9,201206
SN_Ausland,4044,3.5,11870,-7.0,2.9,201206
ST,17107,-37.8,38032,-42.9,2.2,201206
ST_Deutschland,15346,-38.8,33830,-44.9,2.2,201206
ST_Ausland,1761,-28.0,4202,-20.8,2.4,201206
SH,95457,-30.2,346825,-26.7,3.6,201206
SH_Deutschland,85978,-31.7,325721,-27.5,3.8,201206
SH_Ausland,9479,-12.7,21104,-12.1,2.2,201206
TH,14588,-56.9,35015,-52.6,2.4,201206
TH_Deutschland,12460,-60.4,29028,-57.0,2.3,201206
TH_Ausland,2128,-11.7,5987,-4.9,2.8,201206
BRD,1673347,2.0,6052142,-1.2,3.6,201207
BRD_Deutschland,1242613,0.9,4875448,-2.9,3.9,201207
BRD_Ausland,430734,5.2,1176694,6.3,2.7,201207
BW,216542,13.2,706277,16.2,3.3,201207
BW_Deutschland,127496,17.7,444423,20.0,3.5,201207
BW_Ausland,89046,7.3,261854,10.2,2.9,201207
BY,311287,12.5,942552,15.8,3.0,201207
BY_Deutschland,194281,17.0,691933,17.3,3.6,201207
BY_Ausland,117006,5.8,250619,11.8,2.1,201207
BE,5638,-20.9,22319,-14.5,4.0,201207
BE_Deutschland,2594,1.1,11851,9.5,4.6,201207
BE_Ausland,3044,-33.3,10468,-31.6,3.4,201207
BR,71257,-2.8,242879,-6.0,3.4,201207
BR_Deutschland,61636,-4.3,217792,-7.2,3.5,201207
BR_Ausland,9621,7.6,25087,6.5,2.6,201207
HB,4393,-3.9,8085,-6.1,1.8,201207
HB_Deutschland,-999,-999.0,-999,-999.0,-999.0,201207
HB_Ausland,-999,-999.0,-999,-999.0,-999.0,201207
HH,15548,93.5,38978,125.9,2.5,201207
HH_Deutschland,-999,-999.0,-999,-999.0,-999.0,201207
HH_Ausland,-999,-999.0,-999,-999.0,-999.0,201207
HE,79439,-0.8,228532,-4.3,2.9,201207
HE_Deutschland,58774,-5.3,181088,-7.1,3.1,201207
HE_Ausland,20665,14.9,47444,8.1,2.3,201207
MV,235104,-6.4,1175519,-8.5,5.0,201207
MV_Deutschland,218449,-7.0,1124954,-8.8,5.1,201207
MV_Ausland,16655,1.5,50565,-1.7,3.0,201207
NI,205100,-5.6,754936,-14.5,3.7,201207
NI_Deutschland,162430,-6.6,643549,-16.1,4.0,201207
NI_Ausland,42670,-1.8,111387,-3.7,2.6,201207
NW,91613,5.5,277745,19.8,3.0,201207
NW_Deutschland,69361,2.9,211395,19.0,3.0,201207
NW_Ausland,22252,14.5,66350,22.4,3.0,201207
RP,126172,-0.4,429326,-5.5,3.4,201207
RP_Deutschland,66861,-1.9,202898,-9.1,3.0,201207
RP_Ausland,59311,1.3,226428,-1.9,3.8,201207
SL,9531,-10.6,32647,-13.5,3.4,201207
SL_Deutschland,7477,-16.3,27135,-18.8,3.6,201207
SL_Ausland,2054,18.4,5512,27.2,2.7,201207
SN,39380,-1.6,126263,-0.2,3.2,201207
SN_Deutschland,31315,-5.0,101338,-4.7,3.2,201207
SN_Ausland,8065,13.9,24925,23.4,3.1,201207
ST,25213,-1.9,60598,-4.4,2.4,201207
ST_Deutschland,20666,-1.7,51468,-5.1,2.5,201207
ST_Ausland,4547,-2.6,9130,-0.4,2.0,201207
SH,203395,-1.5,901345,-7.3,4.4,201207
SH_Deutschland,177442,-2.0,836107,-8.4,4.7,201207
SH_Ausland,25953,2.2,65238,10.2,2.5,201207
TH,33735,-1.9,104141,1.9,3.1,201207
TH_Deutschland,29363,-2.0,92740,2.1,3.2,201207
TH_Ausland,4372,-0.6,11401,0.7,2.6,201207
BRD,1861365,18.0,6969616,12.9,3.7,201208
BRD_Deutschland,1492884,21.2,5874447,14.8,3.9,201208
BRD_Ausland,368481,6.5,1095169,3.8,3.0,201208
BW,246892,7.1,940936,8.2,3.8,201208
BW_Deutschland,167654,12.8,683583,13.0,4.1,201208
BW_Ausland,79238,-3.4,257353,-2.9,3.2,201208
BY,379879,15.4,1302505,13.6,3.4,201208
BY_Deutschland,283586,19.5,1078581,15.3,3.8,201208
BY_Ausland,96293,4.9,223924,6.3,2.3,201208
BE,5711,-24.7,23199,-19.5,4.1,201208
BE_Deutschland,3083,-9.4,13877,-4.9,4.5,201208
BE_Ausland,2628,-37.2,9322,-34.4,3.5,201208
BR,77388,16.5,275445,19.6,3.6,201208
BR_Deutschland,69853,18.0,255516,21.0,3.7,201208
BR_Ausland,7535,4.3,19929,4.9,2.6,201208
HB,-999,-999.0,-999,-999.0,-999.0,201208
HB_Deutschland,-999,-999.0,-999,-999.0,-999.0,201208
HB_Ausland,-999,-999.0,-999,-999.0,-999.0,201208
HH,-999,-999.0,-999,-999.0,-999.0,201208
HH_Deutschland,-999,-999.0,-999,-999.0,-999.0,201208
HH_Ausland,-999,-999.0,-999,-999.0,-999.0,201208
HE,86971,27.8,247380,21.1,2.8,201208
HE_Deutschland,68409,30.1,200308,22.7,2.9,201208
HE_Ausland,18562,19.8,47072,15.0,2.5,201208
MV,243107,32.4,1246923,29.3,5.1,201208
MV_Deutschland,229818,33.0,1202481,29.6,5.2,201208
MV_Ausland,13289,23.2,44442,22.9,3.3,201208
NI,204141,16.3,786167,-0.4,3.9,201208
NI_Deutschland,175142,16.5,697579,-1.6,4.0,201208
NI_Ausland,28999,15.0,88588,10.9,3.1,201208
NW,107705,26.7,297139,12.5,2.8,201208
NW_Deutschland,84683,29.8,227808,15.1,2.7,201208
NW_Ausland,23022,16.2,69331,4.7,3.0,201208
RP,145614,14.1,487133,6.6,3.3,201208
RP_Deutschland,81484,17.7,239661,13.9,2.9,201208
RP_Ausland,64130,9.8,247472,0.3,3.9,201208
SL,9510,34.6,30946,29.0,3.3,201208
SL_Deutschland,7408,42.1,24775,35.0,3.3,201208
SL_Ausland,2102,13.7,6171,9.4,2.9,201208
SN,45583,17.5,149281,21.6,3.3,201208
SN_Deutschland,38091,16.8,126750,20.0,3.3,201208
SN_Ausland,7492,21.5,22531,31.2,3.0,201208
ST,28028,24.6,74510,32.6,2.7,201208
ST_Deutschland,24245,25.8,66135,32.6,2.7,201208
ST_Ausland,3783,17.7,8375,33.1,2.2,201208
SH,194711,21.0,858335,10.5,4.4,201208
SH_Deutschland,179690,22.3,822315,10.5,4.6,201208
SH_Ausland,15021,7.6,36020,12.3,2.4,201208
TH,69686,6.5,221037,2.4,3.2,201208
TH_Deutschland,65971,6.7,211169,2.7,3.2,201208
TH_Ausland,3715,3.9,9868,-3.4,2.7,201208
BRD,736512,5.9,2387048,5.5,3.2,201209
BRD_Deutschland,598929,5.8,2012162,5.5,3.4,201209
BRD_Ausland,137583,6.3,374886,5.5,2.7,201209
BW,100181,2.4,348807,3.4,3.5,201209
BW_Deutschland,73902,1.7,278230,4.2,3.8,201209
BW_Ausland,26279,4.4,70577,0.4,2.7,201209
BY,148142,0.1,503494,0.8,3.4,201209
BY_Deutschland,119518,2.3,439519,2.6,3.7,201209
BY_Ausland,28624,-8.2,63975,-10.0,2.2,201209
BE,3265,-0.9,10510,-4.5,3.2,201209
BE_Deutschland,2245,2.7,7572,2.4,3.4,201209
BE_Ausland,1020,-8.1,2938,-18.7,2.9,201209
BR,24600,14.8,74348,17.8,3.0,201209
BR_Deutschland,21989,13.1,67325,17.6,3.1,201209
BR_Ausland,2611,31.4,7023,19.4,2.7,201209
HB,3273,-999.0,6539,-999.0,2.0,201209
HB_Deutschland,2907,-999.0,5815,-999.0,2.0,201209
HB_Ausland,366,-999.0,724,-999.0,2.0,201209
HH,5377,-999.0,8957,-999.0,1.7,201209
HH_Deutschland,4899,-999.0,7867,-999.0,1.6,201209
HH_Ausland,478,-999.0,1090,-999.0,2.3,201209
HE,39075,7.0,98418,3.8,2.5,201209
HE_Deutschland,32703,8.1,82407,3.6,2.5,201209
HE_Ausland,6372,1.6,16011,4.6,2.5,201209
MV,68634,22.6,291267,22.8,4.2,201209
MV_Deutschland,64142,21.3,278152,21.8,4.3,201209
MV_Ausland,4492,45.0,13115,49.5,2.9,201209
NI,87881,9.7,291912,0.9,3.3,201209
NI_Deutschland,75971,6.8,260201,-3.2,3.4,201209
NI_Ausland,11910,31.9,31711,55.1,2.7,201209
NW,47307,-2.1,113589,-0.1,2.4,201209
NW_Deutschland,37399,-6.3,87716,-5.2,2.3,201209
NW_Ausland,9908,17.8,25873,22.0,2.6,201209
RP,94969,0.1,288647,-0.8,3.0,201209
RP_Deutschland,60968,-2.2,174307,-1.1,2.9,201209
RP_Ausland,34001,4.3,114340,-0.3,3.4,201209
SL,3544,19.2,9415,27.1,2.7,201209
SL_Deutschland,2810,20.0,7710,33.0,2.7,201209
SL_Ausland,734,16.5,1705,5.7,2.3,201209
SN,17574,23.2,56011,26.8,3.2,201209
SN_Deutschland,15377,23.5,49047,25.1,3.2,201209
SN_Ausland,2197,21.1,6964,40.3,3.2,201209
ST,12492,9.0,29779,16.0,2.4,201209
ST_Deutschland,11197,8.2,26635,14.1,2.4,201209
ST_Ausland,1295,16.7,3144,35.1,2.4,201209
SH,67893,6.4,227029,10.1,3.3,201209
SH_Deutschland,62129,6.0,214864,9.9,3.5,201209
SH_Ausland,5764,11.0,12165,13.4,2.1,201209
TH,12305,3.9,28326,-8.8,2.3,201209
TH_Deutschland,10773,0.5,24795,-12.0,2.3,201209
TH_Ausland,1532,36.5,3531,22.3,2.3,201209
BRD,400920,-3.4,1331095,-1.9,3.3,201210
BRD_Deutschland,339274,-5.9,1166224,-3.0,3.4,201210
BRD_Ausland,61646,12.9,164871,6.7,2.7,201210
BW,54507,-0.3,193428,1.4,3.5,201210
BW_Deutschland,41899,0.6,161703,1.8,3.9,201210
BW_Ausland,12608,-3.0,31725,-0.4,2.5,201210
BY,76646,1.0,271028,-1.2,3.5,201210
BY_Deutschland,61613,-6.1,235864,-3.3,3.8,201210
BY_Ausland,15033,46.4,35164,15.9,2.3,201210
BE,2270,9.4,8272,-1.0,3.6,201210
BE_Deutschland,1846,8.0,7114,0.3,3.9,201210
BE_Ausland,424,16.2,1158,-8.2,2.7,201210
BR,10851,-3.0,37979,-6.2,3.5,201210
BR_Deutschland,9980,-4.5,35361,-7.6,3.5,201210
BR_Ausland,871,18.2,2618,18.2,3.0,201210
HB,2167,-999.0,4594,-999.0,2.1,201210
HB_Deutschland,-999,-999.0,-999,-999.0,-999.0,201210
HB_Ausland,-999,-999.0,-999,-999.0,-999.0,201210
HH,5087,-999.0,8261,-999.0,1.6,201210
HH_Deutschland,-999,-999.0,-999,-999.0,-999.0,201210
HH_Ausland,-999,-999.0,-999,-999.0,-999.0,201210
HE,19326,4.1,50670,-7.8,2.6,201210
HE_Deutschland,17442,3.2,46358,-7.8,2.7,201210
HE_Ausland,1884,12.5,4312,-8.7,2.3,201210
MV,22367,-14.4,104007,-7.4,4.7,201210
MV_Deutschland,21522,-15.2,101589,-7.9,4.7,201210
MV_Ausland,845,12.1,2418,18.3,2.9,201210
NI,57091,-7.4,198912,-2.3,3.5,201210
NI_Deutschland,53286,-8.3,189427,-2.8,3.6,201210
NI_Ausland,3805,6.8,9485,10.3,2.5,201210
NW,31033,-9.8,83863,-4.8,2.7,201210
NW_Deutschland,25515,-13.4,70211,-7.8,2.8,201210
NW_Ausland,5518,11.7,13652,14.8,2.5,201210
RP,62210,-2.2,180691,-3.1,2.9,201210
RP_Deutschland,47088,-3.9,131252,-4.0,2.8,201210
RP_Ausland,15122,3.8,49439,-0.7,3.3,201210
SL,1506,5.2,4525,9.4,3.0,201210
SL_Deutschland,1300,7.9,4087,11.3,3.1,201210
SL_Ausland,206,-9.3,438,-5.4,2.1,201210
SN,8369,7.8,30900,7.3,3.7,201210
SN_Deutschland,6743,-8.7,25524,-7.5,3.8,201210
SN_Ausland,1626,325.7,5376,350.6,3.3,201210
ST,5853,-7.2,16248,-9.9,2.8,201210
ST_Deutschland,5628,-5.9,15680,-5.9,2.8,201210
ST_Ausland,225,-30.6,568,-58.6,2.5,201210
SH,37710,-9.5,124262,1.9,3.3,201210
SH_Deutschland,35072,-9.4,117551,2.2,3.4,201210
SH_Ausland,2638,-11.1,6711,-3.2,2.5,201210
TH,3927,-20.9,13455,-7.3,3.4,201210
TH_Deutschland,3679,-20.7,12821,-6.4,3.5,201210
TH_Ausland,248,-23.9,634,-22.1,2.6,201210
