Region,Ankuenfte,Uebernachtungen,Aufenthaltslaenge_mean,Sequence
BW,181081,523101,2.9,2205
Deutschland ,146012,433751,3.0,2205
Ausland,35069,89350,2.5,2205
BY,234967,673272,2.9,2205
Deutschland ,212438,625133,2.9,2205
Ausland,22529,48139,2.1,2205
BE,3469,11446,3.3,2205
Deutschland ,3100,9821,3.2,2205
Ausland,369,1625,4.4,2205
BR,52216,150342,2.9,2205
Deutschland ,50512,146327,2.9,2205
Ausland,1704,4015,2.4,2205
HB,6347,12641,2.0,2205
Deutschland ,5625,11509,2.0,2205
Ausland,722,1132,1.6,2205
HH,6856,14352,2.1,2205
Deutschland ,6215,12921,2.1,2205
Ausland,641,1431,2.2,2205
HE,67002,162134,2.4,2205
Deutschland ,63122,153731,2.4,2205
Ausland,3880,8403,2.2,2205
MV,111655,425333,3.8,2205
Deutschland ,108240,416455,3.8,2205
Ausland,3415,8878,2.6,2205
NI,178797,610943,3.4,2205
Deutschland ,168107,583472,3.5,2205
Ausland,10690,27471,2.6,2205
NW,104151,267353,2.6,2205
Deutschland ,91834,239789,2.6,2205
Ausland,12317,27564,2.2,2205
RP,119024,348947,2.9,2205
Deutschland ,97571,286718,2.9,2205
Ausland,21453,62229,2.9,2205
SL,6481,16320,2.5,2205
Deutschland ,5411,13634,2.5,2205
Ausland,1070,2686,2.5,2205
SN,31524,96349,3.1,2205
Deutschland ,30047,92487,3.1,2205
Ausland,1477,3862,2.6,2205
ST,25384,76426,3.0,2205
Deutschland ,24528,74136,3.0,2205
Ausland,856,2290,2.7,2205
Schleswig Holstein,155707,548293,3.5,2205
Deutschland ,147965,532672,3.6,2205
Ausland,7742,15621,2.0,2205
TH,21699,58765,2.7,2205
Deutschland ,20794,56362,2.7,2205
Ausland,905,2403,2.7,2205
1 Rechnerischer Wert: Übernachtungen/Ankünfte pro Person.,,,,2205
Deutschland ,1688481,5646886,3.3,2206
Ausland,196328,475038,2.4,2206
BW,238383,754515,3.2,2206
Deutschland ,195082,651453,3.3,2206
Ausland,43301,103062,2.4,2206
BY,370865,1174734,3.2,2206
Deutschland ,328872,1088620,3.3,2206
Ausland,41993,86114,2.1,2206
BE,6143,20166,3.3,2206
Deutschland ,,,,2206
Ausland,,,,2206
BR,84392,249042,3.0,2206
Deutschland ,80869,240829,3.0,2206
Ausland,3523,8213,2.3,2206
HB,7369,13644,1.9,2206
Deutschland ,,,,2206
Ausland,,,,2206
HH,9663,20048,2.1,2206
Deutschland ,8372,17309,2.1,2206
Ausland,1291,2739,2.1,2206
HE,98238,246105,2.5,2206
Deutschland ,90532,229524,2.5,2206
Ausland,7706,16581,2.2,2206
MV,179761,758731,4.2,2206
Deutschland ,171274,733481,4.3,2206
Ausland,8487,25250,3.0,2206
NI,255905,876839,3.4,2206
Deutschland ,234993,822197,3.5,2206
Ausland,20912,54642,2.6,2206
NW,130202,344424,2.6,2206
Deutschland ,116585,314711,2.7,2206
Ausland,13617,29713,2.2,2206
RP,146829,441551,3.0,2206
Deutschland ,116092,349675,3.0,2206
Ausland,30737,91876,3.0,2206
SL,9046,24408,2.7,2206
Deutschland ,7441,20335,2.7,2206
Ausland,1605,4073,2.5,2206
SN,47167,149043,3.2,2206
Deutschland ,44030,140436,3.2,2206
Ausland,3137,8607,2.7,2206
ST,39998,112315,2.8,2206
Deutschland ,38024,107054,2.8,2206
Ausland,1974,5261,2.7,2206
Schleswig Holstein,225331,847444,3.8,2206
Deutschland ,211317,818492,3.9,2206
Ausland,14014,28952,2.1,2206
TH,35517,88915,2.5,2206
Deutschland ,33618,84126,2.5,2206
Ausland,1899,4789,2.5,2206
1 Rechnerischer Wert: Übernachtungen/Ankünfte pro Person.,,,,2206
Deutschland ,2068733,7503019,3.6,2207
Ausland,425027,1077842,2.5,2207
BW,321464,931985,2.9,2207
Deutschland ,223700,675333,3.0,2207
Ausland,97764,256652,2.6,2207
BY,522451,1486799,2.8,2207
Deutschland ,421961,1287034,3.1,2207
Ausland,100490,199765,2.0,2207
BE,7369,29640,4.0,2207
Deutschland ,,,,2207
Ausland,,,,2207
BR,107754,362494,3.4,2207
Deutschland ,98338,337420,3.4,2207
Ausland,9416,25074,2.7,2207
HB,9532,18107,1.9,2207
Deutschland ,,,,2207
Ausland,,,,2207
HH,12667,27157,2.1,2207
Deutschland ,9751,20821,2.1,2207
Ausland,2916,6336,2.2,2207
HE,112482,289057,2.6,2207
Deutschland ,95406,252870,2.7,2207
Ausland,17076,36187,2.1,2207
MV,273664,1370557,5.0,2207
Deutschland ,256847,1321560,5.1,2207
Ausland,16817,48997,2.9,2207
NI,313976,1214094,3.9,2207
Deutschland ,268942,1097830,4.1,2207
Ausland,45034,116264,2.6,2207
NW,159478,457920,2.9,2207
Deutschland ,134762,394784,2.9,2207
Ausland,24716,63136,2.6,2207
RP,166037,530135,3.2,2207
Deutschland ,109224,328632,3.0,2207
Ausland,56813,201503,3.5,2207
SL,12379,33854,2.7,2207
Deutschland ,9589,26446,2.8,2207
Ausland,2790,7408,2.7,2207
SN,56047,195511,3.5,2207
Deutschland ,49163,177229,3.6,2207
Ausland,6884,18282,2.7,2207
ST,48780,135078,2.8,2207
Deutschland ,44752,126884,2.8,2207
Ausland,4028,8194,2.0,2207
Schleswig Holstein,312097,1324248,4.2,2207
Deutschland ,279815,1255925,4.5,2207
Ausland,32282,68323,2.1,2207
TH,57583,174225,3.0,2207
Deutschland ,53707,164272,3.1,2207
Ausland,3876,9953,2.6,2207
1 Rechnerischer Wert: Übernachtungen/Ankünfte pro Person.,,,,2207
Deutschland ,2106906,8236806,3.9,2208
