land,wohnsitz,jahr,monat,ankuenfte_anzahl,ankuenfte_veraenderung_zum_vorjahreszeitraum_prozent,uebernachtungen_anzahl,uebernachtungen_veraenderung_zum_vorjahreszeitraum_prozent,durchsch_aufenthaltsdauer_tage
Thüringen,Gesamt,2006,März,333.0,-58.7,1108.0,-56.7,3.3
Gesamt,Inland,2006,März,35752.0,-69.9,156855.0,-67.5,4.4
Gesamt,Ausland,2006,März,5738.0,-47.4,17980.0,-45.8,3.1
Schleswig-Holstein,Inland,2006,April,27155.0,109.2,123520.0,111.2,4.5
Schleswig-Holstein,Ausland,2006,April,2394.0,47.1,7143.0,80.5,3.0
Schleswig-Holstein,Gesamt,2006,April,29549.0,102.3,130663.0,109.2,4.4
Hamburg,Inland,2006,April,.,.,.,.,.
Hamburg,Ausland,2006,April,.,.,.,.,.
Hamburg,Gesamt,2006,April,.,.,.,.,.
Niedersachsen,Inland,2006,April,53321.0,108.7,281239.0,139.2,5.3
Niedersachsen,Ausland,2006,April,4485.0,109.6,17608.0,260.9,3.9
Niedersachsen,Gesamt,2006,April,57806.0,108.7,298847.0,144.1,5.2
Bremen,Inland,2006,April,.,.,.,.,.
Bremen,Ausland,2006,April,.,.,.,.,.
Bremen,Gesamt,2006,April,.,.,.,.,.
Nordrhein-Westfalen,Inland,2006,April,20864.0,62.2,55701.0,76.5,2.7
Nordrhein-Westfalen,Ausland,2006,April,2756.0,14.7,8068.0,15.8,2.9
Nordrhein-Westfalen,Gesamt,2006,April,23620.0,54.7,63769.0,65.5,2.7
Hessen,Inland,2006,April,12674.0,19.3,39753.0,15.6,3.1
Hessen,Ausland,2006,April,1511.0,22.1,3641.0,7.3,2.4
Hessen,Gesamt,2006,April,14185.0,19.6,43394.0,14.8,3.1
Rheinland-Pfalz,Inland,2006,April,25175.0,79.7,77739.0,90.1,3.1
Rheinland-Pfalz,Ausland,2006,April,9895.0,14.1,28398.0,29.4,2.9
Rheinland-Pfalz,Gesamt,2006,April,35070.0,54.6,106137.0,68.9,3.0
Baden-Württemberg,Inland,2006,April,35053.0,70.8,130732.0,71.4,3.7
Baden-Württemberg,Ausland,2006,April,8091.0,51.7,23572.0,80.8,2.9
Baden-Württemberg,Gesamt,2006,April,43144.0,66.8,154304.0,72.7,3.6
Bayern,Inland,2006,April,38034.0,44.7,162251.0,47.1,4.3
Bayern,Ausland,2006,April,6318.0,27.3,12838.0,12.1,2.0
Bayern,Gesamt,2006,April,44352.0,41.9,175089.0,43.8,3.9
Saarland,Inland,2006,April,1167.0,60.5,4151.0,77.1,3.6
Saarland,Ausland,2006,April,160.0,-8.0,371.0,30.6,2.3
Saarland,Gesamt,2006,April,1327.0,47.3,4522.0,72.1,3.4
Berlin,Inland,2006,April,1232.0,87.5,5444.0,102.8,4.4
Berlin,Ausland,2006,April,364.0,60.4,1113.0,61.8,3.1
Berlin,Gesamt,2006,April,1596.0,80.5,6557.0,94.4,4.1
Brandenburg,Inland,2006,April,7439.0,40.4,21330.0,52.2,2.9
Brandenburg,Ausland,2006,April,362.0,-10.0,893.0,-15.0,2.5
Brandenburg,Gesamt,2006,April,7801.0,36.8,22223.0,47.6,2.8
Mecklenburg-Vorpommern,Inland,2006,April,18205.0,84.4,58728.0,92.9,3.2
Mecklenburg-Vorpommern,Ausland,2006,April,406.0,3.8,1115.0,10.5,2.7
Mecklenburg-Vorpommern,Gesamt,2006,April,18611.0,81.3,59843.0,90.3,3.2
Sachsen,Inland,2006,April,4835.0,28.5,15557.0,45.9,3.2
Sachsen,Ausland,2006,April,282.0,9.3,664.0,15.7,2.4
Sachsen,Gesamt,2006,April,5117.0,27.3,16221.0,44.3,3.2
Sachsen-Anhalt,Inland,2006,April,3086.0,69.9,8721.0,85.9,2.8
Sachsen-Anhalt,Ausland,2006,April,228.0,117.1,477.0,157.8,2.1
Sachsen-Anhalt,Gesamt,2006,April,3314.0,72.5,9198.0,88.7,2.8
Thüringen,Inland,2006,April,2151.0,66.2,6984.0,107.4,3.2
Thüringen,Ausland,2006,April,106.0,-19.1,282.0,-33.2,2.7
Thüringen,Gesamt,2006,April,2257.0,58.4,7266.0,91.7,3.2
Gesamt,Inland,2006,April,252246.0,70.6,996447.0,83.8,4.0
Gesamt,Ausland,2006,April,37606.0,32.8,106550.0,51.4,2.8
Schleswig-Holstein,Inland,2006,Mai,41703.0,-23.8,215414.0,-3.8,5.2
Schleswig-Holstein,Ausland,2006,Mai,3601.0,-2.1,9331.0,-1.1,2.6
Schleswig-Holstein,Gesamt,2006,Mai,45304.0,-22.4,224745.0,-3.7,5.0
Hamburg,Inland,2006,Mai,.,.,.,.,.
Hamburg,Ausland,2006,Mai,.,.,.,.,.
Hamburg,Gesamt,2006,Mai,.,.,.,.,.
Niedersachsen,Inland,2006,Mai,58294.0,-43.4,321036.0,-19.9,5.5
Niedersachsen,Ausland,2006,Mai,6482.0,-5.5,17576.0,-14.3,2.7
Niedersachsen,Gesamt,2006,Mai,64776.0,-41.0,338612.0,-19.7,5.2
Bremen,Inland,2006,Mai,.,.,.,.,.
Bremen,Ausland,2006,Mai,.,.,.,.,.
Bremen,Gesamt,2006,Mai,.,.,.,.,.
Nordrhein-Westfalen,Inland,2006,Mai,31203.0,-55.8,78605.0,-56.0,2.5
Nordrhein-Westfalen,Ausland,2006,Mai,5060.0,-31.6,16804.0,-44.1,3.3
Nordrhein-Westfalen,Gesamt,2006,Mai,36263.0,-53.5,95409.0,-54.3,2.6
Hessen,Inland,2006,Mai,24231.0,-47.0,69840.0,-47.1,2.9
Hessen,Ausland,2006,Mai,3508.0,-10.0,9273.0,-7.9,2.6
Hessen,Gesamt,2006,Mai,27739.0,-44.1,79113.0,-44.3,2.9
Rheinland-Pfalz,Inland,2006,Mai,36778.0,-44.2,118440.0,-43.8,3.2
Rheinland-Pfalz,Ausland,2006,Mai,21095.0,-16.0,68280.0,-21.2,3.2
Rheinland-Pfalz,Gesamt,2006,Mai,57873.0,-36.4,186720.0,-37.2,3.2
Baden-Württemberg,Inland,2006,Mai,46548.0,-41.5,171854.0,-42.9,3.7
Baden-Württemberg,Ausland,2006,Mai,15402.0,-12.8,41344.0,-7.0,2.7
Baden-Württemberg,Gesamt,2006,Mai,61950.0,-36.3,213198.0,-38.3,3.4
Bayern,Inland,2006,Mai,62084.0,-51.3,243003.0,-50.2,3.9
Bayern,Ausland,2006,Mai,15356.0,-9.4,34802.0,-5.7,2.3
Bayern,Gesamt,2006,Mai,77440.0,-46.4,277805.0,-47.0,3.6
Saarland,Inland,2006,Mai,2210.0,-52.3,7461.0,-42.8,3.4
Saarland,Ausland,2006,Mai,369.0,-24.8,652.0,-42.0,1.8
Saarland,Gesamt,2006,Mai,2579.0,-49.6,8113.0,-42.8,3.1
Berlin,Inland,2006,Mai,1510.0,-51.4,5245.0,-54.6,3.5
Berlin,Ausland,2006,Mai,796.0,-19.3,2374.0,-14.2,3.0
Berlin,Gesamt,2006,Mai,2306.0,-43.7,7619.0,-46.8,3.3
Brandenburg,Inland,2006,Mai,19787.0,-52.8,50834.0,-52.0,2.6
Brandenburg,Ausland,2006,Mai,1153.0,-16.3,3029.0,-26.8,2.6
Brandenburg,Gesamt,2006,Mai,20940.0,-51.7,53863.0,-51.1,2.6
Mecklenburg-Vorpommern,Inland,2006,Mai,48385.0,-49.2,158082.0,-41.3,3.3
Mecklenburg-Vorpommern,Ausland,2006,Mai,1838.0,-6.6,5310.0,-0.2,2.9
Mecklenburg-Vorpommern,Gesamt,2006,Mai,50223.0,-48.4,163392.0,-40.5,3.3
Sachsen,Inland,2006,Mai,15016.0,-32.0,49171.0,-22.1,3.3
Sachsen,Ausland,2006,Mai,1614.0,11.7,4264.0,15.8,2.6
Sachsen,Gesamt,2006,Mai,16630.0,-29.4,53435.0,-20.0,3.2
Sachsen-Anhalt,Inland,2006,Mai,8300.0,-44.9,21466.0,-42.9,2.6
Sachsen-Anhalt,Ausland,2006,Mai,816.0,1.2,1578.0,5.0,1.9
Sachsen-Anhalt,Gesamt,2006,Mai,9116.0,-42.6,23044.0,-41.1,2.5
Thüringen,Inland,2006,Mai,6844.0,-51.7,18550.0,-45.6,2.7
Thüringen,Ausland,2006,Mai,1026.0,-9.8,2822.0,-19.0,2.8
Thüringen,Gesamt,2006,Mai,7870.0,-48.6,21372.0,-43.1,2.7
Gesamt,Inland,2006,Mai,405147.0,-45.7,1535022.0,-38.0,3.8
Gesamt,Ausland,2006,Mai,78590.0,-13.2,218311.0,-16.5,2.8
Schleswig-Holstein,Inland,2006,Juni,67575.0,45.3,277629.0,36.1,4.1
Schleswig-Holstein,Ausland,2006,Juni,7710.0,22.8,16054.0,26.4,2.1
Schleswig-Holstein,Gesamt,2006,Juni,75285.0,42.6,293683.0,35.6,3.9
Hamburg,Inland,2006,Juni,.,.,.,.,.
Hamburg,Ausland,2006,Juni,.,.,.,.,.
Hamburg,Gesamt,2006,Juni,.,.,.,.,.
Niedersachsen,Inland,2006,Juni,100516.0,57.5,396605.0,44.4,3.9
Niedersachsen,Ausland,2006,Juni,14350.0,13.0,30825.0,19.6,2.1
Niedersachsen,Gesamt,2006,Juni,114866.0,50.1,427430.0,42.3,3.7
Bremen,Inland,2006,Juni,.,.,.,.,.
Bremen,Ausland,2006,Juni,.,.,.,.,.
Bremen,Gesamt,2006,Juni,.,.,.,.,.
Nordrhein-Westfalen,Inland,2006,Juni,68443.0,80.4,155905.0,80.8,2.3
Nordrhein-Westfalen,Ausland,2006,Juni,11935.0,83.8,32535.0,88.8,2.7
Nordrhein-Westfalen,Gesamt,2006,Juni,80378.0,80.9,188440.0,82.2,2.3
Hessen,Inland,2006,Juni,51552.0,47.5,135471.0,49.1,2.6
Hessen,Ausland,2006,Juni,12769.0,72.5,29645.0,88.7,2.3
Hessen,Gesamt,2006,Juni,64321.0,51.9,165116.0,55.0,2.6
Rheinland-Pfalz,Inland,2006,Juni,63312.0,63.7,188073.0,61.7,3.0
Rheinland-Pfalz,Ausland,2006,Juni,32644.0,7.0,97701.0,5.8,3.0
Rheinland-Pfalz,Gesamt,2006,Juni,95956.0,38.7,285774.0,37.0,3.0
Baden-Württemberg,Inland,2006,Juni,84939.0,44.5,298906.0,53.6,3.5
Baden-Württemberg,Ausland,2006,Juni,37977.0,31.5,103497.0,44.0,2.7
Baden-Württemberg,Gesamt,2006,Juni,122916.0,40.2,402403.0,51.0,3.3
Bayern,Inland,2006,Juni,131595.0,49.7,496143.0,51.5,3.8
Bayern,Ausland,2006,Juni,46278.0,21.3,103403.0,24.7,2.2
Bayern,Gesamt,2006,Juni,177873.0,41.1,599546.0,46.1,3.4
Saarland,Inland,2006,Juni,5983.0,92.1,15850.0,185.5,2.6
Saarland,Ausland,2006,Juni,934.0,27.1,1870.0,8.0,2.0
Saarland,Gesamt,2006,Juni,6917.0,79.7,17720.0,143.3,2.6
Berlin,Inland,2006,Juni,1662.0,-1.7,5266.0,5.1,3.2
Berlin,Ausland,2006,Juni,2383.0,74.3,5646.0,49.9,2.4
Berlin,Gesamt,2006,Juni,4045.0,32.3,10912.0,24.3,2.7
Brandenburg,Inland,2006,Juni,41055.0,19.7,103493.0,22.3,2.5
Brandenburg,Ausland,2006,Juni,2636.0,-16.8,6400.0,-19.5,2.4
Brandenburg,Gesamt,2006,Juni,43691.0,16.6,109893.0,18.7,2.5
Mecklenburg-Vorpommern,Inland,2006,Juni,103280.0,16.9,360811.0,18.3,3.5
Mecklenburg-Vorpommern,Ausland,2006,Juni,5446.0,-9.0,17641.0,6.4,3.2
Mecklenburg-Vorpommern,Gesamt,2006,Juni,108726.0,15.3,378452.0,17.6,3.5
Sachsen,Inland,2006,Juni,23797.0,43.6,73000.0,67.6,3.1
Sachsen,Ausland,2006,Juni,6833.0,105.1,18458.0,113.7,2.7
Sachsen,Gesamt,2006,Juni,30630.0,53.9,91458.0,75.2,3.0
Sachsen-Anhalt,Inland,2006,Juni,14499.0,24.7,35736.0,25.9,2.5
Sachsen-Anhalt,Ausland,2006,Juni,2403.0,49.6,5074.0,83.8,2.1
Sachsen-Anhalt,Gesamt,2006,Juni,16902.0,27.7,40810.0,31.0,2.4
Thüringen,Inland,2006,Juni,13746.0,58.3,34305.0,72.3,2.5
Thüringen,Ausland,2006,Juni,1793.0,-8.0,4469.0,-14.9,2.5
Thüringen,Gesamt,2006,Juni,15539.0,46.2,38774.0,54.1,2.5
Gesamt,Inland,2006,Juni,774904.0,44.6,2585295.0,44.2,3.3
Gesamt,Ausland,2006,Juni,188742.0,26.0,477639.0,30.1,2.5
Schleswig-Holstein,Inland,2006,August,128505.0,15.1,822079.0,7.2,6.4
Schleswig-Holstein,Ausland,2006,August,11933.0,2.2,29968.0,14.2,2.5
Schleswig-Holstein,Gesamt,2006,August,140438.0,13.9,852047.0,7.4,6.1
Hamburg,Inland,2006,August,.,.,.,.,.
Hamburg,Ausland,2006,August,.,.,.,.,.
Hamburg,Gesamt,2006,August,.,.,.,.,.
Niedersachsen,Inland,2006,August,121117.0,-0.7,658602.0,-4.6,5.4
Niedersachsen,Ausland,2006,August,21967.0,3.6,73130.0,10.2,3.3
Niedersachsen,Gesamt,2006,August,143084.0,-0.1,731732.0,-3.3,5.1
Bremen,Inland,2006,August,.,.,.,.,.
Bremen,Ausland,2006,August,.,.,.,.,.
Bremen,Gesamt,2006,August,.,.,.,.,.
Nordrhein-Westfalen,Inland,2006,August,41752.0,-13.6,129670.0,-42.5,3.1
Nordrhein-Westfalen,Ausland,2006,August,14559.0,-3.9,55119.0,-15.4,3.8
Nordrhein-Westfalen,Gesamt,2006,August,56311.0,-11.3,184789.0,-36.4,3.3
Hessen,Inland,2006,August,51532.0,-13.8,186601.0,-9.4,3.6
Hessen,Ausland,2006,August,13514.0,-7.0,42985.0,2.0,3.2
Hessen,Gesamt,2006,August,65046.0,-12.5,229586.0,-7.5,3.5
Rheinland-Pfalz,Inland,2006,August,58050.0,-10.6,190103.0,-16.0,3.3
Rheinland-Pfalz,Ausland,2006,August,53731.0,-1.4,234305.0,-11.6,4.4
Rheinland-Pfalz,Gesamt,2006,August,111781.0,-6.4,424408.0,-13.7,3.8
Baden-Württemberg,Inland,2006,August,99149.0,-20.7,476391.0,-21.3,4.8
Baden-Württemberg,Ausland,2006,August,62817.0,1.1,213511.0,-0.2,3.4
Baden-Württemberg,Gesamt,2006,August,161966.0,-13.5,689902.0,-15.8,4.3
Bayern,Inland,2006,August,168805.0,-16.7,831422.0,-16.6,4.9
Bayern,Ausland,2006,August,85871.0,-3.1,207050.0,-3.5,2.4
Bayern,Gesamt,2006,August,254676.0,-12.5,1038472.0,-14.2,4.1
Saarland,Inland,2006,August,5432.0,-25.4,17260.0,-38.5,3.2
Saarland,Ausland,2006,August,1529.0,-18.4,3911.0,-11.4,2.6
Saarland,Gesamt,2006,August,6961.0,-23.9,21171.0,-34.8,3.0
Berlin,Inland,2006,August,2603.0,-21.5,8794.0,-16.7,3.4
Berlin,Ausland,2006,August,3449.0,5.7,10227.0,10.9,3.0
Berlin,Gesamt,2006,August,6052.0,-8.0,19021.0,-3.8,3.1
Brandenburg,Inland,2006,August,59612.0,1.8,216747.0,11.1,3.6
Brandenburg,Ausland,2006,August,4868.0,-4.4,12825.0,-6.9,2.6
Brandenburg,Gesamt,2006,August,64480.0,1.3,229572.0,9.9,3.6
Mecklenburg-Vorpommern,Inland,2006,August,226593.0,7.3,1141878.0,9.8,5.0
Mecklenburg-Vorpommern,Ausland,2006,August,9837.0,2.9,33486.0,16.2,3.4
Mecklenburg-Vorpommern,Gesamt,2006,August,236430.0,7.1,1175364.0,10.0,5.0
Sachsen,Inland,2006,August,34290.0,4.5,111197.0,5.0,3.2
Sachsen,Ausland,2006,August,6390.0,4.0,16121.0,1.1,2.5
