land,wohnsitz,jahr,monat,ankuenfte_anzahl,ankuenfte_veraenderung_zum_vorjahreszeitraum_prozent,uebernachtungen_anzahl,uebernachtungen_veraenderung_zum_vorjahreszeitraum_prozent,durchsch_aufenthaltsdauer_tage
Schleswig-Holstein,Inland,2006,Januar,753.0,-1.6,1781.0,-30.7,2.4
Schleswig-Holstein,Ausland,2006,Januar,34.0,-44.3,65.0,-57.5,1.9
Schleswig-Holstein,Gesamt,2006,Januar,787.0,-4.7,1846.0,-32.2,2.3
Hamburg,Inland,2006,Januar,.,.,.,.,.
Hamburg,Ausland,2006,Januar,.,.,.,.,.
Hamburg,Gesamt,2006,Januar,.,.,.,.,.
Niedersachsen,Inland,2006,Januar,3860.0,3.3,20440.0,41.9,5.3
Niedersachsen,Ausland,2006,Januar,191.0,-10.3,846.0,10.3,4.4
Niedersachsen,Gesamt,2006,Januar,4051.0,2.6,21286.0,40.3,5.3
Bremen,Inland,2006,Januar,.,.,.,.,.
Bremen,Ausland,2006,Januar,.,.,.,.,.
Bremen,Gesamt,2006,Januar,.,.,.,.,.
Nordrhein-Westfalen,Inland,2006,Januar,2870.0,-5.8,10116.0,11.7,3.5
Nordrhein-Westfalen,Ausland,2006,Januar,462.0,-4.9,2421.0,49.3,5.2
Nordrhein-Westfalen,Gesamt,2006,Januar,3332.0,-5.7,12537.0,17.4,3.8
Hessen,Inland,2006,Januar,2497.0,6.1,10014.0,1.7,4.0
Hessen,Ausland,2006,Januar,316.0,66.3,886.0,16.6,2.8
Hessen,Gesamt,2006,Januar,2813.0,10.6,10900.0,2.8,3.9
Rheinland-Pfalz,Inland,2006,Januar,1488.0,-7.6,5638.0,10.3,3.8
Rheinland-Pfalz,Ausland,2006,Januar,610.0,24.7,2222.0,61.4,3.6
Rheinland-Pfalz,Gesamt,2006,Januar,2098.0,0.0,7860.0,21.1,3.7
Baden-Württemberg,Inland,2006,Januar,4184.0,8.0,22425.0,0.5,5.4
Baden-Württemberg,Ausland,2006,Januar,992.0,16.3,3369.0,6.0,3.4
Baden-Württemberg,Gesamt,2006,Januar,5176.0,9.5,25794.0,1.2,5.0
Bayern,Inland,2006,Januar,10676.0,5.9,87924.0,0.2,8.2
Bayern,Ausland,2006,Januar,1409.0,27.6,4632.0,14.7,3.3
Bayern,Gesamt,2006,Januar,12085.0,8.0,92556.0,0.8,7.7
Saarland,Inland,2006,Januar,27.0,42.1,109.0,2.8,4.0
Saarland,Ausland,2006,Januar,7.0,40.0,19.0,-34.5,2.7
Saarland,Gesamt,2006,Januar,34.0,41.7,128.0,-5.2,3.8
Berlin,Inland,2006,Januar,168.0,41.2,1107.0,116.2,6.6
Berlin,Ausland,2006,Januar,59.0,25.5,139.0,4.5,2.4
Berlin,Gesamt,2006,Januar,227.0,36.7,1246.0,93.2,5.5
Brandenburg,Inland,2006,Januar,138.0,5.3,558.0,-30.5,4.0
Brandenburg,Ausland,2006,Januar,5.0,150.0,8.0,-91.4,1.6
Brandenburg,Gesamt,2006,Januar,143.0,7.5,566.0,-36.8,4.0
Mecklenburg-Vorpommern,Inland,2006,Januar,1028.0,-19.6,4545.0,-8.3,4.4
Mecklenburg-Vorpommern,Ausland,2006,Januar,2.0,-80.0,2.0,-87.5,1.0
Mecklenburg-Vorpommern,Gesamt,2006,Januar,1030.0,-20.1,4547.0,-8.6,4.4
Sachsen,Inland,2006,Januar,375.0,-19.9,2193.0,-9.8,5.8
Sachsen,Ausland,2006,Januar,5.0,-81.5,47.0,-53.9,9.4
Sachsen,Gesamt,2006,Januar,380.0,-23.2,2240.0,-11.6,5.9
Sachsen-Anhalt,Inland,2006,Januar,762.0,109.3,2599.0,108.9,3.4
Sachsen-Anhalt,Ausland,2006,Januar,8.0,-27.3,21.0,-16.0,2.6
Sachsen-Anhalt,Gesamt,2006,Januar,770.0,105.3,2620.0,106.5,3.4
Thüringen,Inland,2006,Januar,594.0,10.2,3371.0,25.0,5.7
Thüringen,Ausland,2006,Januar,18.0,12.5,248.0,67.6,13.8
Thüringen,Gesamt,2006,Januar,612.0,10.3,3619.0,27.3,5.9
Gesamt,Inland,2006,Januar,29435.0,3.2,173020.0,5.1,5.9
Gesamt,Ausland,2006,Januar,4121.0,17.3,14940.0,20.1,3.6
Schleswig-Holstein,Inland,2006,Februar,643.0,-8.0,1442.0,-34.4,2.2
Schleswig-Holstein,Ausland,2006,Februar,79.0,21.5,153.0,8.5,1.9
Schleswig-Holstein,Gesamt,2006,Februar,722.0,-5.5,1595.0,-31.8,2.2
Hamburg,Inland,2006,Februar,.,.,.,.,.
Hamburg,Ausland,2006,Februar,.,.,.,.,.
Hamburg,Gesamt,2006,Februar,.,.,.,.,.
Niedersachsen,Inland,2006,Februar,2946.0,-2.7,13687.0,32.8,4.6
Niedersachsen,Ausland,2006,Februar,341.0,-3.9,1154.0,-20.9,3.4
Niedersachsen,Gesamt,2006,Februar,3287.0,-2.9,14841.0,26.1,4.5
Bremen,Inland,2006,Februar,.,.,.,.,.
Bremen,Ausland,2006,Februar,.,.,.,.,.
Bremen,Gesamt,2006,Februar,.,.,.,.,.
Nordrhein-Westfalen,Inland,2006,Februar,2852.0,-10.9,7920.0,-18.6,2.8
Nordrhein-Westfalen,Ausland,2006,Februar,883.0,6.0,3333.0,4.8,3.8
Nordrhein-Westfalen,Gesamt,2006,Februar,3735.0,-7.4,11253.0,-12.8,3.0
Hessen,Inland,2006,Februar,2122.0,-12.7,7982.0,-13.6,3.8
Hessen,Ausland,2006,Februar,155.0,-29.5,478.0,-19.9,3.1
Hessen,Gesamt,2006,Februar,2277.0,-14.1,8460.0,-14.0,3.7
Rheinland-Pfalz,Inland,2006,Februar,3245.0,25.1,7808.0,1.1,2.4
Rheinland-Pfalz,Ausland,2006,Februar,690.0,-18.2,2028.0,-12.3,2.9
Rheinland-Pfalz,Gesamt,2006,Februar,3935.0,14.5,9836.0,-2.0,2.5
Baden-Württemberg,Inland,2006,Februar,3385.0,-4.2,15008.0,-16.6,4.4
Baden-Württemberg,Ausland,2006,Februar,1086.0,8.2,2992.0,-23.4,2.8
Baden-Württemberg,Gesamt,2006,Februar,4471.0,-1.5,18000.0,-17.8,4.0
Bayern,Inland,2006,Februar,8501.0,-1.7,52376.0,-13.6,6.2
Bayern,Ausland,2006,Februar,1595.0,19.8,5982.0,-3.7,3.8
Bayern,Gesamt,2006,Februar,10096.0,1.2,58358.0,-12.7,5.8
Saarland,Inland,2006,Februar,30.0,7.1,80.0,-26.6,2.7
Saarland,Ausland,2006,Februar,11.0,.,38.0,.,3.5
Saarland,Gesamt,2006,Februar,41.0,46.4,118.0,8.3,2.9
Berlin,Inland,2006,Februar,102.0,36.0,645.0,40.5,6.3
Berlin,Ausland,2006,Februar,5.0,-61.5,31.0,-16.2,6.2
Berlin,Gesamt,2006,Februar,107.0,21.6,676.0,36.3,6.3
Brandenburg,Inland,2006,Februar,128.0,58.0,393.0,-12.9,3.1
Brandenburg,Ausland,2006,Februar,4.0,300.0,36.0,125.0,9.0
Brandenburg,Gesamt,2006,Februar,132.0,61.0,429.0,-8.1,3.3
Mecklenburg-Vorpommern,Inland,2006,Februar,804.0,3.9,2995.0,-13.9,3.7
Mecklenburg-Vorpommern,Ausland,2006,Februar,2.0,-91.7,282.0,25.9,141.0
Mecklenburg-Vorpommern,Gesamt,2006,Februar,806.0,1.0,3277.0,-11.5,4.1
Sachsen,Inland,2006,Februar,272.0,-74.8,1192.0,-58.6,4.4
Sachsen,Ausland,2006,Februar,17.0,30.8,58.0,100.0,3.4
Sachsen,Gesamt,2006,Februar,289.0,-73.5,1250.0,-57.0,4.3
Sachsen-Anhalt,Inland,2006,Februar,317.0,6.7,1533.0,46.0,4.8
Sachsen-Anhalt,Ausland,2006,Februar,19.0,-13.6,107.0,11.5,5.6
Sachsen-Anhalt,Gesamt,2006,Februar,336.0,5.3,1640.0,43.1,4.9
Thüringen,Inland,2006,Februar,274.0,-3.9,1830.0,59.8,6.7
Thüringen,Ausland,2006,Februar,5.0,-61.5,50.0,-40.5,10.0
Thüringen,Gesamt,2006,Februar,279.0,-6.4,1880.0,53.0,6.7
Gesamt,Inland,2006,Februar,26161.0,-3.3,116741.0,-8.7,4.5
Gesamt,Ausland,2006,Februar,4923.0,3.8,16760.0,-8.4,3.4
Schleswig-Holstein,Inland,2006,März,1458.0,-83.4,4522.0,-88.8,3.1
Schleswig-Holstein,Ausland,2006,März,127.0,-84.9,350.0,-85.9,2.8
Schleswig-Holstein,Gesamt,2006,März,1585.0,-83.5,4872.0,-88.6,3.1
Hamburg,Inland,2006,März,.,.,.,.,.
Hamburg,Ausland,2006,März,.,.,.,.,.
Hamburg,Gesamt,2006,März,.,.,.,.,.
Niedersachsen,Inland,2006,März,4897.0,-83.3,22363.0,-82.7,4.6
Niedersachsen,Ausland,2006,März,860.0,-27.0,3052.0,-33.6,3.5
Niedersachsen,Gesamt,2006,März,5757.0,-81.1,25415.0,-81.0,4.4
Bremen,Inland,2006,März,.,.,.,.,.
Bremen,Ausland,2006,März,.,.,.,.,.
Bremen,Gesamt,2006,März,.,.,.,.,.
Nordrhein-Westfalen,Inland,2006,März,5071.0,-52.0,12122.0,-62.2,2.4
Nordrhein-Westfalen,Ausland,2006,März,824.0,-32.2,2224.0,-43.8,2.7
Nordrhein-Westfalen,Gesamt,2006,März,5895.0,-49.9,14346.0,-60.2,2.4
Hessen,Inland,2006,März,3528.0,-44.9,12523.0,-46.1,3.5
Hessen,Ausland,2006,März,366.0,-21.3,1369.0,-3.0,3.7
Hessen,Gesamt,2006,März,3894.0,-43.3,13892.0,-43.6,3.6
Rheinland-Pfalz,Inland,2006,März,2928.0,-72.8,8544.0,-75.6,2.9
Rheinland-Pfalz,Ausland,2006,März,872.0,-55.7,2477.0,-55.5,2.8
Rheinland-Pfalz,Gesamt,2006,März,3800.0,-70.1,11021.0,-72.9,2.9
Baden-Württemberg,Inland,2006,März,5244.0,-65.8,22398.0,-63.6,4.3
Baden-Württemberg,Ausland,2006,März,1207.0,-46.7,4246.0,-38.1,3.5
Baden-Württemberg,Gesamt,2006,März,6451.0,-63.3,26644.0,-61.1,4.1
Bayern,Inland,2006,März,9164.0,-55.5,60691.0,-43.2,6.6
Bayern,Ausland,2006,März,1263.0,-47.2,3687.0,-43.0,2.9
Bayern,Gesamt,2006,März,10427.0,-54.6,64378.0,-43.2,6.2
Saarland,Inland,2006,März,49.0,-75.4,443.0,-50.1,9.0
Saarland,Ausland,2006,März,12.0,-45.5,29.0,20.8,2.4
Saarland,Gesamt,2006,März,61.0,-72.4,472.0,-48.2,7.7
Berlin,Inland,2006,März,188.0,-77.8,641.0,-77.4,3.4
Berlin,Ausland,2006,März,110.0,-38.5,296.0,-44.8,2.7
Berlin,Gesamt,2006,März,298.0,-71.0,937.0,-72.2,3.1
Brandenburg,Inland,2006,März,186.0,-91.0,698.0,-89.2,3.8
Brandenburg,Ausland,2006,März,.,.,.,.,.
Brandenburg,Gesamt,2006,März,186.0,-91.3,698.0,-89.5,3.8
Mecklenburg-Vorpommern,Inland,2006,März,1531.0,-81.0,6432.0,-75.9,4.2
Mecklenburg-Vorpommern,Ausland,2006,März,15.0,-90.4,42.0,-94.0,2.8
Mecklenburg-Vorpommern,Gesamt,2006,März,1546.0,-81.2,6474.0,-76.4,4.2
Sachsen,Inland,2006,März,331.0,-86.0,1446.0,-78.2,4.4
Sachsen,Ausland,2006,März,18.0,-14.3,51.0,-30.1,2.8
Sachsen,Gesamt,2006,März,349.0,-85.4,1497.0,-77.6,4.3
Sachsen-Anhalt,Inland,2006,März,365.0,-77.1,1105.0,-78.3,3.0
Sachsen-Anhalt,Ausland,2006,März,27.0,-49.1,102.0,-35.0,3.8
Sachsen-Anhalt,Gesamt,2006,März,392.0,-76.2,1207.0,-77.0,3.1
Thüringen,Inland,2006,März,325.0,-59.1,1094.0,-56.7,3.4
Thüringen,Ausland,2006,März,8.0,-33.3,14.0,-56.2,1.8
